,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
342,66268,2016,8,17.02909103,100.16723648,Thailand,1,3,0,2,1,ground,,mobile_application,False
344,66265,2016,8,17.00857789,100.17206604,Thailand,1,3,0,2,0,ground,,mobile_application,False
345,66260,2016,8,16.96237672,100.12978707,Thailand,1,3,0,2,1,ground,,mobile_application,False
346,66259,2016,8,16.92736768,100.15481145,Thailand,1,3,0,1,1,ground,,mobile_application,False
348,66257,2016,8,16.9247155,100.16129237,Thailand,1,3,0,1,1,ground,,mobile_application,False
350,66252,2016,8,16.66493589,100.43822661,Thailand,1,3,0,1,1,ground,,mobile_application,False
351,66251,2016,8,16.58418819,100.45346491,Thailand,1,15,0,1,1,ground,,mobile_application,False
352,66247,2016,8,16.30537518,100.3971824,Thailand,1,3,0,2,0,ground,,mobile_application,False
353,66243,2016,8,16.24621342,100.4151324,Thailand,1,3,3,2,2,ground,,mobile_application,False
354,66242,2016,8,16.25307917,100.41276911,Thailand,1,3,3,2,2,ground,,mobile_application,False
355,66241,2016,8,16.2610979,100.41323841,Thailand,1,3,3,2,2,ground,,mobile_application,False
357,66239,2016,8,16.22165001,100.45703554,Thailand,1,3,0,2,2,ground,,mobile_application,False
358,66238,2016,8,16.1632907,100.58901951,Thailand,1,3,0,2,2,ground,,mobile_application,False
359,66237,2016,8,16.19266369,100.49881036,Thailand,1,3,0,2,2,ground,,mobile_application,False
360,66233,2016,8,15.98132878,100.62868124,Thailand,1,3,0,1,1,ground,,mobile_application,False
361,66228,2016,8,15.80890009,100.66043901,Thailand,1,3,0,1,1,ground,,mobile_application,False
362,66223,2016,8,15.82068229,100.81790748,Thailand,1,3,17,1,0,ground,,mobile_application,False
363,66220,2016,8,15.84036293,100.89778523,Thailand,1,2,16,1,2,ground,,mobile_application,False
