id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
66417,2016,8,16.86507072,99.94077852,Thailand,1,3,0,1,1,ground,,mobile_application,False
66415,2016,8,16.91335556,99.95489037,Thailand,1,3,0,1,1,ground,,mobile_application,False
66414,2016,8,16.91364956,99.95428547,Thailand,1,3,0,2,1,ground,,mobile_application,False
66413,2016,8,16.91461782,99.95509174,Thailand,1,3,0,2,2,ground,,mobile_application,False
66412,2016,8,16.96431505,99.97298953,Thailand,1,3,0,1,0,ground,,mobile_application,False
66411,2016,8,16.96434398,99.97257109,Thailand,1,3,0,1,2,ground,,mobile_application,False
66410,2016,8,16.96466051,99.95919885,Thailand,1,3,0,1,2,ground,,mobile_application,False
66409,2016,8,16.96465624,99.95925781,Thailand,1,3,0,1,0,ground,,mobile_application,False
66408,2016,8,16.99047929,99.95075396,Thailand,1,3,0,1,0,ground,,mobile_application,False
66407,2016,8,16.99017445,99.95097853,Thailand,1,3,0,1,2,ground,,mobile_application,False
66406,2016,8,16.99479811,99.9393727,Thailand,1,3,0,1,2,ground,,mobile_application,False
66405,2016,8,16.99501094,99.93911479,Thailand,1,3,0,1,2,ground,,mobile_application,False
66404,2016,8,17.01412452,99.91764917,Thailand,1,3,0,2,1,ground,,mobile_application,False
66402,2015,3,50.33372621,28.99060528,Ukraine,1,0,0,1,0,streetview,,,False
66401,2015,8,41.36672883,75.45960497,Kyrgyzstan,1,0,0,2,0,streetview,,,False
66392,2011,8,-20.09395357,-49.35473546,Brazil,1,0,0,1,0,streetview,,,False
66390,2011,8,-20.13370645,-49.33585397,Brazil,1,0,0,1,0,streetview,,,False
66389,2011,8,-20.13676669,-49.33437837,Brazil,1,0,0,1,0,streetview,,,False
66388,2011,8,-20.14011252,-49.33267474,Brazil,1,0,0,1,0,streetview,,,False
66387,2011,8,-20.14258211,-49.33149474,Brazil,1,0,0,1,0,streetview,,,False
